Ticker,Name
FFHL,Fuwei Films [Holding
SANW,S&W Seed Company
GECC,Great Elm Capital Corp
EFBI,Eagle Financial Bancorp Inc.
SAFE,Safehold Inc
TYHT,Shineco Inc
LPNT,LIFEPOINT HEALTH INC
SSW,SEASPAN CORP
HMLP,Hoegh Lng Partners LP
ENIC,Enersis Chile S.A. ADR
TCRD,THL Credit Inc
DCIX,Diana Containerships Inc
TWO,Two Harbors Investments Corp
OFS,Ofs Capital Corp
SBGL,SIBANYE STILLWATER
OAKS,FIVE OAKS INVT CORP
CTG,Computer Task Gp Inc
ORM,OWENS REALTY MORTGAGE INC
EVH,Evolent Health Inc Cl A Com
CLBS,Caladrius Bio
ESV,ENSCO ROWAN PLC
UNT,Unit Corp
DWSN,Dawson Geophscl
PEIX,Alto Ingredients Inc
CAAS,China Automotive Sys
ARCC,Ares Capital Corp
TCAP,TRIANGLE CAP CORP
BPOP,Popular Inc
MHLD,Maiden Holdings Ltd
GNW,Genworth Financial Inc
NWLI,Natl Wstrn Life Gp A
RWT,Redwood Trust
DGICB,Donegal Group Cl B
HT,Hersha Hospitality Trust
ANW,AEGEAN MARINE PETROLEUM NETWRK
INT,World Fuel Services Corp
GME,Gamestop Corp
DIT,Amcon Distributing Company
TA,Travelcenters of America Llc
DGII,Digi Intl Inc
CXDC,China Xd Plastics Company
ANCB,Anchor Bancorp
HRZN,Horizon Technology F
CMRE,Costamare Inc
EARN,Ellington Residential Mortgage
MNK,Mallinckrodt Plc
ASC,Ardmore Shipping Corp
CPTA,Capitala Finance Crp
STAR,Istar Financial Inc
DNOW,Now Inc
TSQ,Townsquare Media Llc
LTRPA,Liberty Tripadv A
ADVM,Adverum Biotechnlgs
GEL,Genesis Energy LP
CCT,CORPORATE CAP TR INC
DARE,Dare Bioscience Inc
GPRE,Green Plains Inc
SUP,Superior Industries International
JVA,Coffee Holding Company
EVK,Ever Glory Intl Group
KCAP,KCAP FINL INC
FBP,First Bancorp
ANH,Anworth Mortgage Asset Corp
AMAG,Amag Pharmaceuticals
ACET,Adicet Bio Inc
CYH,Community Health Systems
JCS,Commun Systems Inc
BBOX,BLACK BOX CORP DEL
FTR,Frontier Commun Cp
TDS,Telephone and Data Systems
HNP,Huaneng Power Intl
ANGI,Homeservices Inc
ENT,Global Eagle Entrtn
BCRH,Blue Capital Reinsurance
ABDC,ALCENTRA CAP CORP
FELP,FORESIGHT ENERGY LP
VRTV,Veritiv Corp
ICD,Independence Contract Drilling Inc
AVAL,Grupo Aval Acciones Y Valores S
HIFR,INFRAREIT INC
VSTO,Vista Outdoor Inc
SELF,Global Self Storage
WCFB,Webster City Fed Bcp
KEYW,KEYW HLDG CORP
JKS,Jinkosolar Holding Company Ltd
COHN,Cohen & CO Inc
NEXA,Nexa Resources S.A.
CGBD,Tcg Bdc Inc
TIS,ORCHIDS PAPER PRODS CO DEL
PHH,PHH CORP
AFSI,AMTRUST FINL SVCS INC
SNFCA,Security Natl Finl
HALL,Hallmark Fin Svc
VSI,VITAMIN SHOPPE INC
RRTS,Roadrunner Transportation Systems Inc
AVHI,AV HOMES INC
CGG,CGG
